"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","min_width","min_height","inner_width","inner_height","stimulus","response","sequence","sequence_length","tile_duration","backwards","responses","score_an","score_pc","score_ls","event_history","success","timeout","failed_images","failed_audio","failed_video","task","correct_response","correct","fixation_time"
"","","screen-check","11","74416","0.0-2.0-0.3","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","74918","0.0-2.0-1.3","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","3303","spatial-recall","13","82699","0.0-2.0-2.3","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[4,10,6,11]","4","744","false","[4,10,6,11]","1","4","4","[{""button"":4,""time"":648.6000000238419},{""button"":10,""time"":1441.6000000238419},{""button"":6,""time"":2000.4000000953674},{""button"":11,""time"":2465.3000000715256},{""button"":""submit"",""time"":3303}]","","","","","","","","",""
"","","screen-check","14","82700","0.0-2.0-0.4","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","83201","0.0-2.0-1.4","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","3004.7000000476837","spatial-recall","16","90664","0.0-2.0-2.4","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[5,3,10,15]","4","739","false","[5,3,10,15]","1","4","4","[{""button"":5,""time"":742.6000000238419},{""button"":3,""time"":1357.6000000238419},{""button"":10,""time"":1908.7000000476837},{""button"":15,""time"":2507.2000000476837},{""button"":""submit"",""time"":3004.7000000476837}]","","","","","","","","",""
"","","screen-check","17","90668","0.0-2.0-0.5","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","18","91170","0.0-2.0-1.5","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2553.399999976158","spatial-recall","19","97764","0.0-2.0-2.5","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[2,10,0,8]","4","634","false","[2,10,0,8]","1","4","4","[{""button"":2,""time"":538.5},{""button"":10,""time"":939.7999999523163},{""button"":0,""time"":1484.2000000476837},{""button"":8,""time"":1921.8999999761581},{""button"":""submit"",""time"":2553.399999976158}]","","","","","","","","",""
"","","screen-check","20","97766","0.0-2.0-0.6","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","21","98268","0.0-2.0-1.6","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2800.1999999284744","spatial-recall","22","105312","0.0-2.0-2.6","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[5,11,1,6]","4","685","false","[5,11,1,6]","1","4","4","[{""button"":5,""time"":597.5},{""button"":11,""time"":1148.5},{""button"":1,""time"":1723.7999999523163},{""button"":6,""time"":2179.1999999284744},{""button"":""submit"",""time"":2800.1999999284744}]","","","","","","","","",""
"","","screen-check","23","105314","0.0-2.0-0.7","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
