"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","min_width","min_height","inner_width","inner_height","stimulus","response","sequence","sequence_length","tile_duration","backwards","responses","score_an","score_pc","score_ls","event_history","success","timeout","failed_images","failed_audio","failed_video","task","correct_response","correct","fixation_time"
"[{""page_index"":0,""viewing_time"":3492}]","3493","instructions","0","3496","0.0-0.0","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":933},{""page_index"":1,""viewing_time"":1844},{""page_index"":0,""viewing_time"":1818},{""page_index"":1,""viewing_time"":15295},{""page_index"":2,""viewing_time"":8207}]","28097","instructions","1","31597","0.0-1.0","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","","","","","","","","","","","","","","","","","",""
"","","screen-check","2","31599","0.0-2.0-0.0","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","865","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","3","32100","0.0-2.0-1.0","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","4010.9999999999927","spatial-recall","4","40566","0.0-2.0-2.0","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[1,14,9,11]","4","737","false","[1,14,9,11]","1","4","4","[{""button"":1,""time"":968.9999999999927},{""button"":14,""time"":1744.9999999999927},{""button"":9,""time"":2141.9999999999927},{""button"":11,""time"":2692},{""button"":""submit"",""time"":4010.9999999999927}]","","","","","","","","",""
"","","screen-check","5","40569","0.0-2.0-0.1","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","865","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","41071","0.0-2.0-1.1","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","3718","spatial-recall","7","49290","0.0-2.0-2.1","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[9,15,2,4]","4","749","false","[9,15,2,4]","1","4","4","[{""button"":9,""time"":750},{""button"":15,""time"":1315},{""button"":2,""time"":2010},{""button"":4,""time"":2730.0000000000073},{""button"":""submit"",""time"":3718}]","","","","","","","","",""
"","","screen-check","8","49292","0.0-2.0-0.2","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","865","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","49794","0.0-2.0-1.2","4","1","2024-03-20 00:49:53","c33429291dc7a384f95165972fddd116","171.66.13.161","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","Macintosh","Safari","17.2.1","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
